,id,timestamp,tweet,replies,retweets,quotes,likes
0,361388562,10/24/2007,Tune in 11:30 ET tomorrow for a live webcast of Families USA Presidential Forum on health care: ,19,5,17,11
1,543984392,12/29/2007,"Iowans, there's a good chance there's a Biden near you today on a cool 14 F day: ",13,16,6,22
2,189287227321356289,04/09/2012,We're excited to announce that @JoeBiden is being rebooted for the 2012 campaign season to give you news of the Vice President on the trail.,21,82,1,20
3,189287350034104320,04/09/2012,"Campaign staff will run this account to keep you up to date on what the VP's up to, but you'll see occasional tweets from Joe himself, too.",144,76,37,51
4,189339650610036736,04/09/2012,"News for you this morning: VP Biden will speak in Exeter, NH on 4/12 on tax fairness and the President’s support for the #BuffettRule.",10,54,0,5
5,189343279140184065,04/09/2012,"In NH on 4/12, the Vice President will give his take on why millionaires shouldn’t pay a lower tax rate than middle class families do.",16,52,0,6
6,189383473717460992,04/09/2012,I’m for the Buffett Rule because it just makes sense. Like the President says—it’s not class warfare. It’s math. -Joe,114,471,0,51
7,189456416917032960,04/09/2012,"During a recent campaign stop in Ohio, VP Biden took an unexpected phone call. ",13,29,0,12
8,189712253187145728,04/10/2012,"Favorite Joe photos, volume 1: ",21,217,1,137
9,189742771387637760,04/10/2012,The VP will be speaking in NH on Thursday about the #BuffettRule. Here's what you need to know about it: ,8,21,0,5
10,189773314288402432,04/10/2012,"Joe: ""We're not only fighting to keep jobs in this country, we're fighting to bring jobs back to this country."" ",16,44,0,7
11,189813040856825856,04/10/2012,Congress is scheduled to vote on the Buffett Rule next week. Why do you support a fairer tax system? ,26,26,0,3
12,190129116622761984,04/11/2012,"RT @BarackObama: The Republican primary is all but over, and this race is on. Are you ready? ",18,29,0,11
13,190146175008112640,04/11/2012,Heads up: We'll be livestreaming the Vice President's New Hampshire speech on the #BuffettRule tomorrow. Watch this space for details.,7,11,0,4
14,190172245975502848,04/11/2012,High five. ,28,443,0,208
15,190198707449372673,04/11/2012,RT @OFA_NH: #Exeter gets ready for @JoeBiden’s #BuffettRule speech here tomorrow: ,1,8,0,3
16,190221525117448192,04/11/2012,Compare your tax rate to Mitt Romney's:  #BuffettRule,25,64,0,7
17,190454419035398145,04/12/2012,"The Vice President is speaking about the #BuffettRule in Exeter, New Hampshire at 12:15pm ET—tune in here: ",22,89,0,21
18,190468063236337664,04/12/2012,Watch Vice President Biden’s speech live:  #BuffettRule,5,19,0,2
19,190468245638221824,04/12/2012,The Vice President's speech will be live-tweeted on @Obama2012.,2,12,0,2
