,username,tweet_id,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
0,POTUS,1477022943586754560,12/31/2021,Betty White brought a smile to the lips of generations of Americans. She’s a cultural icon who will be sorely missed. Jill and I are thinking of her family and all those who loved her this New Year’s Eve.,18567,906,2906,194017
1,POTUS,1476998740833705984,12/31/2021,"As we head into 2022, I want folks to remember: There’s not a single thing America cannot do when we do it together. https://t.co/F7PouSXnLi",2846,443,2606,16213
2,JoeBiden,1476618089273905158,12/30/2021,"This new sinister combination of voter suppression and election subversion—it's un-American and it's undemocratic.

We must pass the Freedom to Vote Act and the John Lewis Voting Rights Advancement Act.",9256,716,4097,45657
3,POTUS,1476596766409736195,12/30/2021,"When I came into office, our economy was in crisis. 
 
But over the last 11 months, we’ve added nearly 6 million jobs.
 
That’s the largest increase in recorded history.",9386,2262,14079,67757
4,POTUS,1476579613799337987,12/30/2021,"Last year at this time, there were 823,000 Americans filing new jobless claims each week.
 
This last week, that number was less than 200,000. 
 
That’s historic progress.",5639,1071,5085,36613
5,POTUS,1476387686848073738,12/30/2021,"Today, I committed $137 million to expanding the production of COVID-19 at-home tests using our military authority in order to meet demand. https://t.co/eNmA4CCkkR",2528,389,3225,14888
6,POTUS,1476311650424832000,12/29/2021,"We’re ending 2021 with what one analyst described as the strongest first-year economic track record of any president in the last 50 years.
 
Let’s keep the progress going.",8847,6320,28308,58284
7,POTUS,1476253000301699076,12/29/2021,"The economy I inherited nearly a year ago wasn’t just in crisis — it wasn’t working for working people.
 
We passed the American Rescue Plan and Bipartisan Infrastructure Law to help change that.
 
We’re rebuilding our economy from the bottom up and middle out — not the top down.",4570,504,4461,26626
8,POTUS,1476210972322934786,12/29/2021,"With the Bipartisan Infrastructure Law, we’re bringing affordable, high-speed internet to every single American.",3472,414,2550,26294
9,POTUS,1476034176524693504,12/29/2021,"A son of Searchlight, Nevada, Harry never forgot his humble roots. A boxer, he never gave up a fight. A great American, he looked at challenges and believed it was within our capacity to do good — to do right.

May God bless Harry Reid, a dear friend and a giant of our history.",6022,229,1669,51000
10,JoeBiden,1475971575249874947,12/28/2021,"As we continue our holiday celebrations and head into the new year, remember that the best way to protect your health and keep your loved ones safe from COVID-19 and the Omicron variant is to get vaccinated and get your booster shot.",2713,251,2451,20371
11,POTUS,1475962068092215300,12/28/2021,"Here’s where we stand one year in:

- Nearly 6 million new jobs — a record for a new president
- Unemployment down to 4.2% — three years ahead of predictions
- Applications for new small businesses up 30%
- The fastest economic growth in nearly 40 years

America is on the move.",7942,1352,6388,41695
12,JoeBiden,1475923008925614082,12/28/2021,"The most valuable tool we have to lower the costs of prescription drugs, child care, and health care for families is my Build Back Better Act. 

It’s fully paid for, will not increase the deficit, and won’t raise the taxes by one penny for anyone making less than $400,000 a year.",2836,222,2017,16738
13,POTUS,1475917402496028679,12/28/2021,"COVID-19 booster shots increase antibody levels by more than 20x — providing a high degree of protection against severe illness with Omicron.

Get your shot today, folks.",4924,357,3140,32831
14,POTUS,1475880640918835208,12/28/2021,"My Administration has the back of every governor fighting COVID-19 in their state. Last week, I rolled out a federal plan to tackle Omicron by adding vaccination and booster capacity, hospital equipment, staff, and more.
 
We’re going to get through this by working together.",3629,714,4660,24860
15,POTUS,1475861808472809473,12/28/2021,"Folks, if you traveled for the holidays you probably saw America’s crumbling roads and bridges firsthand.
 
We’re changing that with the Bipartisan Infrastructure Law — investing in America and creating millions of good-paying, union jobs at the same time.",3631,475,3407,26980
16,POTUS,1475598626491666436,12/27/2021,"I know folks are worried about Omicron and wondering how they can stay safe.
 
The answer is simple: Get your booster shot, get vaccinated, and wear a mask.",8330,1309,7193,59812
17,JoeBiden,1475565652010319877,12/27/2021,"When it comes to voter suppression, it’s no longer just about making it easy for eligible people to vote—it's about whether or not those votes will count at all.

It's simple: voter suppression is un-American, un-democratic, and unpatriotic.",7077,559,4231,39304
18,POTUS,1475505473835175939,12/27/2021,Tune in as I join the White House COVID-19 Response Team and the National Governors Association to discuss our Administration’s response to the Omicron variant and to hear from the Governors on the needs in their states. https://t.co/BBvGrzE94c,1050,131,1690,5388
19,POTUS,1475483580260392961,12/27/2021,"When I took office, our economy was on the brink of collapse.
 
Now, Americans have more money in their pockets than before the pandemic, and retail sales were up 8.5% compared to last holiday season.",10840,5749,19475,77906
20,POTUS,1475202544997707788,12/26/2021,"Today, we are heartbroken to learn of the passing of a true servant of God and of the people, Archbishop Desmond Tutu of South Africa. We send our deepest condolences to the people of South Africa who are mourning this great loss.",8889,347,2650,87805
21,JoeBiden,1475144376175235073,12/26/2021,"Sending warm wishes to all who are celebrating Kwanzaa this week. We hope these days of reflection on the seven principles bring light, happiness, and peace in the coming year.",2641,142,1305,26962
22,POTUS,1475126705278828555,12/26/2021,"As we begin the seven days of Kwanzaa, Jill and I send our best wishes to everyone celebrating. May this time of reflection on the rich heritage of African American culture bring peace, unity, and joy.",4928,284,2089,42250
23,POTUS,1474886536990703616,12/25/2021,"Congratulations @NASA and all who made today’s launch of the James Webb telescope possible. Webb is a shining example of the power of what we can accomplish when we dream big. We've always known that this project would be a risky endeavor, but with big risk comes big rewards.",5483,313,2242,56297
24,POTUS,1474869869485170689,12/25/2021,"Jill and I know how hard it is for our troops and their families to be apart during this season of togetherness. So today, we wanted to take the opportunity to say thank you. We’re grateful for all they do to make our freedom, security, and prosperity possible. https://t.co/VSIjOYVezj",2711,149,1624,22362
25,POTUS,1474802463882547211,12/25/2021,Join me as the First Lady and I meet virtually with service members to celebrate the holiday. https://t.co/cy4d0nYjxK,1726,95,1323,12124
26,JoeBiden,1474763376563789834,12/25/2021,"On behalf of the entire Biden family, Jill and I want to wish you a very Merry Christmas. https://t.co/2dIRa6XIEV",4351,273,3393,57297
27,POTUS,1474740353601355776,12/25/2021,"From our family to yours, Merry Christmas! May your time with loved ones be filled with warmth, comfort, and joy this holiday season. https://t.co/gCPM81l5Pu",16119,1447,11590,220851
28,POTUS,1474456976994324482,12/24/2021,"This morning, the First Lady and I stopped by the Children’s National Hospital to spread a little holiday cheer. We hope everyone has a happy, healthy, and safe holiday season. https://t.co/5eBIDRgptp",6454,414,3685,59663
29,JoeBiden,1474188578758533123,12/24/2021,"Gas prices are down ten cents nationally, and some states across the country are seeing gas prices at pre-pandemic averages. This will help so many Americans who are traveling this week.",6823,3116,14235,57867
30,JoeBiden,1474161901865259010,12/23/2021,"Packages are moving, gifts are being delivered, and shelves are stocked. Today, retail inventories are up more than 3% from last year. 

We’re making progress.",5099,572,2724,37890
31,POTUS,1474139127411060736,12/23/2021,"I had the honor of hosting the 2021 Kennedy Center Honorees this month at the White House. These folks are giants of the arts, and I’m grateful they’ve shared their gifts with the nation and with the world. https://t.co/65k9z5wIFt",2109,174,1764,13718
32,POTUS,1474118714853371914,12/23/2021,"Today, I signed the Accelerating Access to Critical Therapies for ALS Act. Thanks to a movement led by patients and caregivers and bipartisan members of Congress, we are finally closer than ever to new treatments, and hopefully a cure.",3530,315,1225,25406
33,POTUS,1474115585940275218,12/23/2021,Tune in as I sign the Accelerating Access to Critical Therapies for ALS Act into law. https://t.co/7DEkDFFb8l,742,71,413,4220
34,POTUS,1474095443239915526,12/23/2021,"Today, I signed the bipartisan Uyghur Forced Labor Prevention Act. The United States will continue to use every tool at our disposal to ensure supply chains are free from the use of forced labor — including from Xinjiang and other parts of China. https://t.co/kd4fk2CvmJ",3616,1421,3115,21004
