,startdate,pollster,samplesize,population,approve,disapprove
0,1/19/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,45.0
1,1/19/2021,Morning Consult,15000.0,a,50.0,28.0
2,1/20/2021,Morning Consult,1993.0,rv,56.0,31.0
3,1/20/2021,YouGov,1516.0,a,45.0,28.0
4,1/20/2021,Ipsos,1115.0,a,55.0,32.0
5,1/20/2021,Morning Consult,15000.0,a,51.0,28.0
6,1/21/2021,HarrisX,941.0,rv,63.0,37.0
7,1/20/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,47.0
8,1/21/2021,Morning Consult,15000.0,a,52.0,29.0
9,1/21/2021,RMG Research,1200.0,rv,58.0,32.0
10,1/21/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,47.0
11,1/20/2021,Echelon Insights,1006.0,rv,55.0,33.0
12,1/21/2021,Monmouth University,809.0,a,54.0,30.0
13,1/22/2021,Morning Consult,15000.0,a,53.0,29.0
14,1/22/2021,Morning Consult,2200.0,a,56.0,32.0
15,1/23/2021,Morning Consult,15000.0,a,53.0,30.0
16,1/22/2021,Data for Progress,1164.0,lv,57.0,36.0
17,1/22/2021,Morning Consult,1990.0,rv,59.0,32.0
18,1/24/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,48.0
19,1/24/2021,YouGov,1500.0,a,51.0,33.0
20,1/24/2021,Morning Consult,15000.0,a,53.0,30.0
21,1/25/2021,Morning Consult,2200.0,a,58.0,32.0
22,1/25/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,48.0
23,1/25/2021,Morning Consult,15000.0,a,54.0,31.0
24,1/24/2021,Marist College,1313.0,a,49.0,35.0
25,1/21/2021,Gallup,906.0,a,57.0,37.0
26,1/26/2021,Morning Consult,9211.5,a,55.0,31.5
27,1/26/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,45.0
28,1/27/2021,Morning Consult,15000.0,a,54.0,32.0
29,1/27/2021,Morning Consult,2200.0,a,56.0,33.0
30,1/27/2021,IBD/TIPP,1261.0,a,53.0,29.0
31,1/27/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,46.0
32,1/28/2021,Morning Consult,6466.666667,a,55.333333,33.0
33,1/29/2021,John Zogby Strategies/EMI Research Solutions,841.0,lv,56.1,36.4
34,1/28/2021,RMG Research,1200.0,rv,58.0,35.0
35,1/28/2021,HarrisX,945.0,rv,61.0,39.0
36,1/28/2021,AP-NORC,1055.0,a,61.0,38.0
37,1/28/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,45.0
38,1/27/2021,Global Strategy Group/GBAO (Navigator Research),1005.0,rv,53.0,39.0
39,1/29/2021,Morning Consult,15000.0,a,54.0,33.0
40,1/28/2021,Quinnipiac University,1075.0,a,49.0,36.0
41,1/29/2021,Morning Consult,1986.0,rv,58.0,35.0
42,1/29/2021,Morning Consult,2200.0,a,57.0,33.0
43,1/30/2021,Morning Consult,15000.0,a,54.0,33.0
44,1/31/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
45,1/31/2021,YouGov,1500.0,a,46.0,38.0
46,1/31/2021,Morning Consult,15000.0,a,54.0,33.0
47,2/1/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,46.0
48,2/1/2021,Morning Consult,15000.0,a,54.0,33.0
49,2/2/2021,Ipsos,1005.0,a,57.0,34.0
50,2/2/2021,Emerson College,1429.0,a,49.0,39.0
51,2/2/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,48.0
52,2/2/2021,Morning Consult,15000.0,a,54.0,34.0
53,2/3/2021,Morning Consult,15000.0,a,54.0,34.0
54,2/4/2021,RMG Research,1200.0,rv,60.0,32.0
55,2/3/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
56,2/4/2021,Morning Consult,15000.0,a,54.0,34.0
57,2/5/2021,Morning Consult,1986.0,rv,59.0,35.0
58,2/5/2021,Morning Consult,15000.0,a,55.0,33.0
59,2/4/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,46.0
60,2/6/2021,Morning Consult,15000.0,a,55.0,33.0
61,2/5/2021,YouGov,2508.0,a,61.0,39.0
62,2/7/2021,Morning Consult,15000.0,a,55.0,33.0
63,2/6/2021,YouGov,1500.0,a,50.0,37.0
64,2/7/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
65,2/8/2021,Morning Consult,15000.0,a,55.0,33.0
66,2/8/2021,HarrisX,938.0,rv,60.0,40.0
67,2/8/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
68,2/9/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,45.0
69,2/9/2021,Ipsos,1001.0,a,57.0,35.0
70,2/9/2021,Morning Consult,15000.0,a,55.0,33.0
71,2/10/2021,Morning Consult,15000.0,a,55.0,33.0
72,2/7/2021,Saint Leo University,1000.0,a,60.9,32.3
73,2/3/2021,Gallup,1021.0,a,56.0,40.0
74,2/11/2021,RMG Research,1200.0,rv,57.0,35.0
75,2/11/2021,Morning Consult,15000.0,a,55.0,34.0
76,2/10/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,53.0,43.0
77,2/11/2021,Quinnipiac University,1056.0,a,50.0,38.0
78,2/11/2021,Global Strategy Group/GBAO (Navigator Research),1067.0,rv,56.0,38.0
79,2/12/2021,Morning Consult,15000.0,a,54.0,34.0
80,2/11/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,53.0,44.0
81,2/12/2021,HarrisX,2835.0,rv,59.0,41.0
82,2/12/2021,Morning Consult,3300.0,a,56.0,34.5
83,2/13/2021,Morning Consult,15000.0,a,54.0,34.0
84,2/12/2021,Morning Consult,1987.0,rv,56.0,38.0
85,2/14/2021,Morning Consult,1984.0,rv,62.0,33.0
86,2/13/2021,YouGov,1500.0,a,54.0,37.0
87,2/12/2021,Echelon Insights,1005.0,rv,51.0,42.0
88,2/14/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
89,2/14/2021,Morning Consult,15000.0,a,54.0,34.0
90,2/15/2021,Morning Consult,15000.0,a,54.0,35.0
91,2/15/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
92,2/16/2021,Morning Consult,15000.0,a,54.0,35.0
93,2/16/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
94,2/17/2021,Morning Consult,15000.0,a,54.0,35.0
95,2/17/2021,Ipsos,1005.0,a,56.0,36.0
96,2/17/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,49.0
97,2/18/2021,RMG Research,1200.0,rv,56.0,37.0
98,2/18/2021,Morning Consult,15000.0,a,54.0,35.0
99,2/17/2021,Hart Research Associates,1000.0,v,58.0,42.0
100,2/17/2021,American Research Group,1100.0,a,58.0,34.0
101,2/18/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
