username,tweet_id,tweet_url,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
POTUS,1477022943586754560,https://twitter.com/POTUS/status/1477022943586754560,2021-12-31 21:04:46+00:00,Betty White brought a smile to the lips of generations of Americans. She’s a cultural icon who will be sorely missed. Jill and I are thinking of her family and all those who loved her this New Year’s Eve.,18567,906,2906,194017
POTUS,1476998740833705984,https://twitter.com/POTUS/status/1476998740833705984,2021-12-31 19:28:35+00:00,"As we head into 2022, I want folks to remember: There’s not a single thing America cannot do when we do it together. https://t.co/F7PouSXnLi",2846,443,2606,16213
JoeBiden,1476618089273905158,https://twitter.com/JoeBiden/status/1476618089273905158,2021-12-30 18:16:01+00:00,"This new sinister combination of voter suppression and election subversion—it's un-American and it's undemocratic.

We must pass the Freedom to Vote Act and the John Lewis Voting Rights Advancement Act.",9256,716,4097,45657
POTUS,1476596766409736195,https://twitter.com/POTUS/status/1476596766409736195,2021-12-30 16:51:17+00:00,"When I came into office, our economy was in crisis. 
 
But over the last 11 months, we’ve added nearly 6 million jobs.
 
That’s the largest increase in recorded history.",9386,2262,14079,67757
POTUS,1476579613799337987,https://twitter.com/POTUS/status/1476579613799337987,2021-12-30 15:43:08+00:00,"Last year at this time, there were 823,000 Americans filing new jobless claims each week.
 
This last week, that number was less than 200,000. 
 
That’s historic progress.",5639,1071,5085,36613
POTUS,1476387686848073738,https://twitter.com/POTUS/status/1476387686848073738,2021-12-30 03:00:29+00:00,"Today, I committed $137 million to expanding the production of COVID-19 at-home tests using our military authority in order to meet demand. https://t.co/eNmA4CCkkR",2528,389,3225,14888
POTUS,1476311650424832000,https://twitter.com/POTUS/status/1476311650424832000,2021-12-29 21:58:20+00:00,"We’re ending 2021 with what one analyst described as the strongest first-year economic track record of any president in the last 50 years.
 
Let’s keep the progress going.",8847,6320,28308,58284
POTUS,1476253000301699076,https://twitter.com/POTUS/status/1476253000301699076,2021-12-29 18:05:17+00:00,"The economy I inherited nearly a year ago wasn’t just in crisis — it wasn’t working for working people.
 
We passed the American Rescue Plan and Bipartisan Infrastructure Law to help change that.
 
We’re rebuilding our economy from the bottom up and middle out — not the top down.",4570,504,4461,26626
POTUS,1476210972322934786,https://twitter.com/POTUS/status/1476210972322934786,2021-12-29 15:18:17+00:00,"With the Bipartisan Infrastructure Law, we’re bringing affordable, high-speed internet to every single American.",3472,414,2550,26294
POTUS,1476034176524693504,https://twitter.com/POTUS/status/1476034176524693504,2021-12-29 03:35:45+00:00,"A son of Searchlight, Nevada, Harry never forgot his humble roots. A boxer, he never gave up a fight. A great American, he looked at challenges and believed it was within our capacity to do good — to do right.

May God bless Harry Reid, a dear friend and a giant of our history.",6022,229,1669,51000
JoeBiden,1475971575249874947,https://twitter.com/JoeBiden/status/1475971575249874947,2021-12-28 23:27:00+00:00,"As we continue our holiday celebrations and head into the new year, remember that the best way to protect your health and keep your loved ones safe from COVID-19 and the Omicron variant is to get vaccinated and get your booster shot.",2713,251,2451,20371
POTUS,1475962068092215300,https://twitter.com/POTUS/status/1475962068092215300,2021-12-28 22:49:13+00:00,"Here’s where we stand one year in:

- Nearly 6 million new jobs — a record for a new president
- Unemployment down to 4.2% — three years ahead of predictions
- Applications for new small businesses up 30%
- The fastest economic growth in nearly 40 years

America is on the move.",7942,1352,6388,41695
JoeBiden,1475923008925614082,https://twitter.com/JoeBiden/status/1475923008925614082,2021-12-28 20:14:01+00:00,"The most valuable tool we have to lower the costs of prescription drugs, child care, and health care for families is my Build Back Better Act. 

It’s fully paid for, will not increase the deficit, and won’t raise the taxes by one penny for anyone making less than $400,000 a year.",2836,222,2017,16738
POTUS,1475917402496028679,https://twitter.com/POTUS/status/1475917402496028679,2021-12-28 19:51:44+00:00,"COVID-19 booster shots increase antibody levels by more than 20x — providing a high degree of protection against severe illness with Omicron.

Get your shot today, folks.",4924,357,3140,32831
POTUS,1475880640918835208,https://twitter.com/POTUS/status/1475880640918835208,2021-12-28 17:25:39+00:00,"My Administration has the back of every governor fighting COVID-19 in their state. Last week, I rolled out a federal plan to tackle Omicron by adding vaccination and booster capacity, hospital equipment, staff, and more.
 
We’re going to get through this by working together.",3629,714,4660,24860
POTUS,1475861808472809473,https://twitter.com/POTUS/status/1475861808472809473,2021-12-28 16:10:49+00:00,"Folks, if you traveled for the holidays you probably saw America’s crumbling roads and bridges firsthand.
 
We’re changing that with the Bipartisan Infrastructure Law — investing in America and creating millions of good-paying, union jobs at the same time.",3631,475,3407,26980
POTUS,1475598626491666436,https://twitter.com/POTUS/status/1475598626491666436,2021-12-27 22:45:02+00:00,"I know folks are worried about Omicron and wondering how they can stay safe.
 
The answer is simple: Get your booster shot, get vaccinated, and wear a mask.",8330,1309,7193,59812
JoeBiden,1475565652010319877,https://twitter.com/JoeBiden/status/1475565652010319877,2021-12-27 20:34:00+00:00,"When it comes to voter suppression, it’s no longer just about making it easy for eligible people to vote—it's about whether or not those votes will count at all.

It's simple: voter suppression is un-American, un-democratic, and unpatriotic.",7077,559,4231,39304
POTUS,1475505473835175939,https://twitter.com/POTUS/status/1475505473835175939,2021-12-27 16:34:53+00:00,Tune in as I join the White House COVID-19 Response Team and the National Governors Association to discuss our Administration’s response to the Omicron variant and to hear from the Governors on the needs in their states. https://t.co/BBvGrzE94c,1050,131,1690,5388
POTUS,1475483580260392961,https://twitter.com/POTUS/status/1475483580260392961,2021-12-27 15:07:53+00:00,"When I took office, our economy was on the brink of collapse.
 
Now, Americans have more money in their pockets than before the pandemic, and retail sales were up 8.5% compared to last holiday season.",10840,5749,19475,77906
POTUS,1475202544997707788,https://twitter.com/POTUS/status/1475202544997707788,2021-12-26 20:31:09+00:00,"Today, we are heartbroken to learn of the passing of a true servant of God and of the people, Archbishop Desmond Tutu of South Africa. We send our deepest condolences to the people of South Africa who are mourning this great loss.",8889,347,2650,87805
JoeBiden,1475144376175235073,https://twitter.com/JoeBiden/status/1475144376175235073,2021-12-26 16:40:00+00:00,"Sending warm wishes to all who are celebrating Kwanzaa this week. We hope these days of reflection on the seven principles bring light, happiness, and peace in the coming year.",2641,142,1305,26962
POTUS,1475126705278828555,https://twitter.com/POTUS/status/1475126705278828555,2021-12-26 15:29:47+00:00,"As we begin the seven days of Kwanzaa, Jill and I send our best wishes to everyone celebrating. May this time of reflection on the rich heritage of African American culture bring peace, unity, and joy.",4928,284,2089,42250
POTUS,1474886536990703616,https://twitter.com/POTUS/status/1474886536990703616,2021-12-25 23:35:27+00:00,"Congratulations @NASA and all who made today’s launch of the James Webb telescope possible. Webb is a shining example of the power of what we can accomplish when we dream big. We've always known that this project would be a risky endeavor, but with big risk comes big rewards.",5483,313,2242,56297
POTUS,1474869869485170689,https://twitter.com/POTUS/status/1474869869485170689,2021-12-25 22:29:13+00:00,"Jill and I know how hard it is for our troops and their families to be apart during this season of togetherness. So today, we wanted to take the opportunity to say thank you. We’re grateful for all they do to make our freedom, security, and prosperity possible. https://t.co/VSIjOYVezj",2711,149,1624,22362
POTUS,1474802463882547211,https://twitter.com/POTUS/status/1474802463882547211,2021-12-25 18:01:22+00:00,Join me as the First Lady and I meet virtually with service members to celebrate the holiday. https://t.co/cy4d0nYjxK,1726,95,1323,12124
JoeBiden,1474763376563789834,https://twitter.com/JoeBiden/status/1474763376563789834,2021-12-25 15:26:03+00:00,"On behalf of the entire Biden family, Jill and I want to wish you a very Merry Christmas. https://t.co/2dIRa6XIEV",4351,273,3393,57297
POTUS,1474740353601355776,https://twitter.com/POTUS/status/1474740353601355776,2021-12-25 13:54:34+00:00,"From our family to yours, Merry Christmas! May your time with loved ones be filled with warmth, comfort, and joy this holiday season. https://t.co/gCPM81l5Pu",16119,1447,11590,220851
POTUS,1474456976994324482,https://twitter.com/POTUS/status/1474456976994324482,2021-12-24 19:08:32+00:00,"This morning, the First Lady and I stopped by the Children’s National Hospital to spread a little holiday cheer. We hope everyone has a happy, healthy, and safe holiday season. https://t.co/5eBIDRgptp",6454,414,3685,59663
JoeBiden,1474188578758533123,https://twitter.com/JoeBiden/status/1474188578758533123,2021-12-24 01:22:00+00:00,"Gas prices are down ten cents nationally, and some states across the country are seeing gas prices at pre-pandemic averages. This will help so many Americans who are traveling this week.",6823,3116,14235,57867
JoeBiden,1474161901865259010,https://twitter.com/JoeBiden/status/1474161901865259010,2021-12-23 23:36:00+00:00,"Packages are moving, gifts are being delivered, and shelves are stocked. Today, retail inventories are up more than 3% from last year. 

We’re making progress.",5099,572,2724,37890
POTUS,1474139127411060736,https://twitter.com/POTUS/status/1474139127411060736,2021-12-23 22:05:30+00:00,"I had the honor of hosting the 2021 Kennedy Center Honorees this month at the White House. These folks are giants of the arts, and I’m grateful they’ve shared their gifts with the nation and with the world. https://t.co/65k9z5wIFt",2109,174,1764,13718
POTUS,1474118714853371914,https://twitter.com/POTUS/status/1474118714853371914,2021-12-23 20:44:24+00:00,"Today, I signed the Accelerating Access to Critical Therapies for ALS Act. Thanks to a movement led by patients and caregivers and bipartisan members of Congress, we are finally closer than ever to new treatments, and hopefully a cure.",3530,315,1225,25406
POTUS,1474115585940275218,https://twitter.com/POTUS/status/1474115585940275218,2021-12-23 20:31:58+00:00,Tune in as I sign the Accelerating Access to Critical Therapies for ALS Act into law. https://t.co/7DEkDFFb8l,742,71,413,4220
POTUS,1474095443239915526,https://twitter.com/POTUS/status/1474095443239915526,2021-12-23 19:11:55+00:00,"Today, I signed the bipartisan Uyghur Forced Labor Prevention Act. The United States will continue to use every tool at our disposal to ensure supply chains are free from the use of forced labor — including from Xinjiang and other parts of China. https://t.co/kd4fk2CvmJ",3616,1421,3115,21004
JoeBiden,1474082380851855368,https://twitter.com/JoeBiden/status/1474082380851855368,2021-12-23 18:20:01+00:00,"My Bipartisan Infrastructure Law includes the largest investment of public transit ever and will replace diesel buses with electric ones. This will get more people where they are going safer, faster, and cleaner for the environment. It’s a win, win, win.",2110,120,1139,12675
POTUS,1474069320472965135,https://twitter.com/POTUS/status/1474069320472965135,2021-12-23 17:28:07+00:00,"People with a booster shot are highly protected.
 
If it’s been six months since your second shot, get your booster shot today.",5603,409,3267,45459
POTUS,1474020545754763264,https://twitter.com/POTUS/status/1474020545754763264,2021-12-23 14:14:18+00:00,"We should all be concerned about Omicron, but not panicked.

If you’re fully vaccinated — and especially if you got boosted — you’re highly protected.

But if you’re unvaccinated, you’re at higher risk of getting severely ill from COVID-19, getting hospitalized, and dying.",5193,774,4432,33903
JoeBiden,1473817128910401541,https://twitter.com/JoeBiden/status/1473817128910401541,2021-12-23 00:46:00+00:00,"Two years earlier than experts predicted, the economy has added nearly 6 million jobs and the unemployment rate is down to 4.2%. Let’s keep this historic progress moving by passing Build Back Better.",3773,266,2099,22536
POTUS,1473792254112370690,https://twitter.com/POTUS/status/1473792254112370690,2021-12-22 23:07:09+00:00,"This morning, I brought together my Supply Chain Task Force and business leaders for another progress update. My Administration is working every day to move goods faster, keep shelves stocked, and lower prices for Americans. https://t.co/akjPioeIpg",1689,250,2129,10054
JoeBiden,1473790705743056899,https://twitter.com/JoeBiden/status/1473790705743056899,2021-12-22 23:01:00+00:00,"If you're over the age of 18 and six months have gone by since you got vaccinated, go get your booster. Go get it now.",7638,754,4405,65886
POTUS,1473776500457578501,https://twitter.com/POTUS/status/1473776500457578501,2021-12-22 22:04:33+00:00,"We received good news today in our fight against COVID-19. The FDA granted emergency use authorization of the Pfizer antiviral pill, a promising new treatment option that will significantly reduce hospitalization and death as we battle the more transmissible Omicron variant.",3628,307,1723,25753
POTUS,1473763159886512135,https://twitter.com/POTUS/status/1473763159886512135,2021-12-22 21:11:33+00:00,"As we mark the 50th anniversary of the National Cancer Act, I call upon all Americans to reaffirm our commitment to accelerate cancer research and deliver hope to more families facing a cancer diagnosis. Working together, we can and will end cancer as we know it.",1462,119,766,9626
POTUS,1473754008183582726,https://twitter.com/POTUS/status/1473754008183582726,2021-12-22 20:35:11+00:00,"If you and those you celebrate with are vaccinated — particularly if you’ve been boosted — and follow the precautions that we all know well, you should feel comfortable celebrating the holidays as you planned.

You have done the right thing — you should enjoy the holiday season. https://t.co/qKPGejJNUS",1101,378,2303,6396
POTUS,1473737760217391111,https://twitter.com/POTUS/status/1473737760217391111,2021-12-22 19:30:37+00:00,"Three weeks ago, I laid out our COVID-19 Action Plan for the winter that prepared us for this moment. Yesterday, I announced how we’re making the plan even stronger: https://t.co/Mdp8BTqpOU",793,94,901,4489
JoeBiden,1473731819673694211,https://twitter.com/JoeBiden/status/1473731819673694211,2021-12-22 19:07:01+00:00,"We are not going back to March 2020. 

More than 200 million Americans have been fully vaccinated and today, we’re prepared for what’s coming. We must stay focused.",2498,531,1641,19898
POTUS,1473721877654867969,https://twitter.com/POTUS/status/1473721877654867969,2021-12-22 18:27:30+00:00,"Today, I announced my Administration is extending the pause on federal student loan repayments for an additional 90 days. https://t.co/mxveCTe7bH",4519,4289,6417,33333
POTUS,1473706458386731008,https://twitter.com/POTUS/status/1473706458386731008,2021-12-22 17:26:14+00:00,My full statement: https://t.co/8Z5KFo3kGU,1010,141,494,5507
POTUS,1473706456390291465,https://twitter.com/POTUS/status/1473706456390291465,2021-12-22 17:26:14+00:00,"Today, my Administration is extending the pause on federal student loan repayments for an additional 90 days — through May 1, 2022 — as we manage the ongoing pandemic and further strengthen our economic recovery.",14128,10875,7913,95508
